0 0 3.5826133175497274e9 3.5826133175497274e9 0 0 0
1 0 2.897916923134865e9 2.897916923134865e9 0 0 0
2 0 4.2850854293775682e9 4.2850854293775682e9 0 0 0
3 0 6.348894436612257e9 6.348894436612257e9 0 0 0
4 0 1.0183155495794802e10 1.0183155495794802e10 0 0 0
5 0 8.868636336243896e9 8.868636336243896e9 0 0 0
6 0 1.4050580034792862e10 1.4050580034792862e10 0 0 0
7 0 2.8848817704509777e10 2.8848817704509777e10 0 0 0
8 0 3.0012649024133987e10 3.0012649024133987e10 0 0 0
9 0 4.462260173946747e10 4.462260173946747e10 0 0 0
0 1 7.1631430436191225e9 7.1631430436191225e9 0 0 0
1 1 1.1114175297057148e10 1.1114175297057148e10 0 0 0
2 1 1.8677972802309544e10 1.8677972802309544e10 0 0 0
3 1 1.977698766045418e10 1.977698766045418e10 0 0 0
4 1 2.4590609286391064e10 2.4590609286391064e10 0 0 0
5 1 4.435959569943403e10 4.435959569943403e10 0 0 0
6 1 5.671356665340436e10 5.671356665340436e10 0 0 0
7 1 7.340394178821442e10 7.340394178821442e10 0 0 0
8 1 1.0132112563981705e11 1.0132112563981705e11 0 0 0
9 1 1.7381841224293137e11 1.7381841224293137e11 0 0 0
0 2 2.4711471792810596e10 2.4711471792810596e10 0 0 0
1 2 3.821264567615282e10 3.821264567615282e10 0 0 0
2 2 3.807886246687425e10 3.807886246687425e10 0 0 0
3 2 6.743449659028205e10 6.743449659028205e10 0 0 0
4 2 9.41317880509138e10 9.41317880509138e10 0 0 0
5 2 1.0030848735812811e11 1.0030848735812811e11 0 0 0
6 2 1.3992520311486502e11 1.3992520311486502e11 0 0 0
7 2 2.0937281099519922e11 2.0937281099519922e11 0 0 0
8 2 2.857673262460756e11 2.857673262460756e11 0 0 0
9 2 3.2288387990640826e11 3.2288387990640826e11 0 0 0
0 3 4.70393955867591e10 4.70393955867591e10 0 0 0
1 3 6.31458787937202e10 6.31458787937202e10 0 0 0
2 3 1.0443422653871786e11 1.0443422653871786e11 0 0 0
3 3 1.415209870443211e11 1.415209870443211e11 0 0 0
4 3 1.7751720523974435e11 1.7751720523974435e11 0 0 0
5 3 2.1220798767577054e11 2.1220798767577054e11 0 0 0
6 3 3.2565307057202185e11 3.2565307057202185e11 0 0 0
7 3 3.816552007417725e11 3.816552007417725e11 0 0 0
8 3 4.7782532734460486e11 4.7782532734460486e11 0 0 0
9 3 5.980439457927814e11 5.980439457927814e11 0 0 0
0 4 9.355377354253404e10 9.355377354253404e10 0 0 0
1 4 1.3201927613666689e11 1.3201927613666689e11 0 0 0
2 4 1.5925142146274414e11 1.5925142146274414e11 0 0 0
3 4 1.991386586001668e11 1.991386586001668e11 0 0 0
4 4 2.7785023521005884e11 2.7785023521005884e11 0 0 0
5 4 3.930769759175613e11 3.930769759175613e11 0 0 0
6 4 4.226419009299983e11 4.226419009299983e11 0 0 0
7 4 5.480376082870192e11 5.480376082870192e11 0 0 0
8 4 7.253012029314138e11 7.253012029314138e11 0 0 0
9 4 1.0081465397452462e12 1.0081465397452462e12 0 0 0
0 5 1.4157869238426315e11 1.4157869238426315e11 0 0 0
1 5 1.634615659671973e11 1.634615659671973e11 0 0 0
2 5 2.0810088581836032e11 2.0810088581836032e11 0 0 0
3 5 3.037265559951874e11 3.037265559951874e11 0 0 0
4 5 3.5200817591964703e11 3.5200817591964703e11 0 0 0
5 5 4.471474854971089e11 4.471474854971089e11 0 0 0
6 5 6.24303931616911e11 6.24303931616911e11 0 0 0
7 5 7.580257210673888e11 7.580257210673888e11 0 0 0
8 5 1.721341153366079e12 1.721341153366079e12 0 0 0
9 5 1.4508270964125808e12 1.4508270964125808e12 0 0 0
0 6 1.5856674986100412e11 1.5856674986100412e11 0 0 0
1 6 2.1919991375540887e11 2.1919991375540887e11 0 0 0
2 6 2.9130552964194073e11 2.9130552964194073e11 0 0 0
3 6 3.7122422508930994e11 3.7122422508930994e11 0 0 0
4 6 4.800903285745065e11 4.800903285745065e11 0 0 0
5 6 7.595070397984575e11 7.595070397984575e11 0 0 0
6 6 8.616847669779608e11 8.616847669779608e11 0 0 0
7 6 3.839366292429315e12 3.839366292429315e12 0 0 0
8 6 2.3847069161641045e12 2.3847069161641045e12 0 0 0
9 6 1.275670884079948e13 1.275670884079948e13 0 0 0
0 7 2.4996829671654913e11 2.4996829671654913e11 0 0 0
1 7 3.1939975575747424e11 3.1939975575747424e11 0 0 0
2 7 4.558073508507907e11 4.558073508507907e11 0 0 0
3 7 1.77468275926781e12 1.77468275926781e12 0 0 0
4 7 1.2839355500763635e12 1.2839355500763635e12 0 0 0
5 7 8.474801084825423e12 8.474801084825423e12 0 0 0
6 7 5.504751285541053e12 5.504751285541053e12 0 0 0
7 7 4.589409927507734e12 4.589409927507734e12 0 0 0
8 7 2.68113961360411e13 2.68113961360411e13 0 0 0
9 7 1.2569049185877692e14 1.2569049185877692e14 0 0 0
0 8 9.311219954037607e11 9.311219954037607e11 0 0 0
1 8 8.609144607433652e11 8.609144607433652e11 0 0 0
2 8 3.6936340730377534e12 3.6936340730377534e12 0 0 0
3 8 4.068931280726933e12 4.068931280726933e12 0 0 0
4 8 1.721936684185395e13 1.721936684185395e13 0 0 0
5 8 1.5056939378038457e13 1.5056939378038457e13 0 0 0
6 8 5.617460946994123e13 5.617460946994123e13 0 0 0
7 8 6.279631890134629e13 6.279631890134629e13 0 0 0
8 8 2.227002761252876e14 2.227002761252876e14 0 0 0
9 8 1.2814920954161786e14 1.2814920954161786e14 0 0 0
0 9 1.908883559397035e12 1.908883559397035e12 0 0 0
1 9 9.91155649445755e12 9.91155649445755e12 0 0 0
2 9 7.484551123065422e12 7.484551123065422e12 0 0 0
3 9 4.3630597395087195e13 4.3630597395087195e13 0 0 0
4 9 2.9341017117296676e13 2.9341017117296676e13 0 0 0
5 9 1.0797118410996425e14 1.0797118410996425e14 0 0 0
6 9 1.0768934448898342e14 1.0768934448898342e14 0 0 0
7 9 2.7580535311974522e14 2.7580535311974522e14 0 0 0
8 9 2.710813541913342e14 2.710813541913342e14 0 0 0
9 9 6.858480097216508e14 6.858480097216508e14 0 0 0
10 0 6.292838426437274e10 6.292838426437274e10 0 0 0
11 0 1.034530897372041e11 1.034530897372041e11 0 0 0
12 0 1.0018950756888846e11 1.0018950756888846e11 0 0 0
13 0 1.3348904246067339e11 1.3348904246067339e11 0 0 0
14 0 1.796197053809882e11 1.796197053809882e11 0 0 0
15 0 2.3835646749743842e11 2.3835646749743842e11 0 0 0
16 0 2.5608130201828983e11 2.5608130201828983e11 0 0 0
17 0 2.7464496418624893e11 2.7464496418624893e11 0 0 0
18 0 3.4690410657953894e11 3.4690410657953894e11 0 0 0
19 0 3.0247160281579846e11 3.0247160281579846e11 0 0 0
10 1 1.8383063608641965e11 1.8383063608641965e11 0 0 0
11 1 2.6043836494254355e11 2.6043836494254355e11 0 0 0
12 1 3.306500698461849e11 3.306500698461849e11 0 0 0
13 1 4.1552133481643713e11 4.1552133481643713e11 0 0 0
14 1 4.790638465863873e11 4.790638465863873e11 0 0 0
15 1 4.9430806527830304e11 4.9430806527830304e11 0 0 0
16 1 6.574171328144346e11 6.574171328144346e11 0 0 0
17 1 6.772889199162825e11 6.772889199162825e11 0 0 0
18 1 6.795965153401594e11 6.795965153401594e11 0 0 0
19 1 5.685302343277299e11 5.685302343277299e11 0 0 0
10 2 4.4343412045256195e11 4.4343412045256195e11 0 0 0
11 2 5.526410128960999e11 5.526410128960999e11 0 0 0
12 2 7.692565537996383e11 7.692565537996383e11 0 0 0
13 2 7.403720247735275e11 7.403720247735275e11 0 0 0
14 2 9.12952633469535e11 9.12952633469535e11 0 0 0
15 2 9.790606832357019e11 9.790606832357019e11 0 0 0
16 2 1.2146323508721282e12 1.2146323508721282e12 0 0 0
17 2 1.0034225197801947e12 1.0034225197801947e12 0 0 0
18 2 3.9806168765349844e12 3.9806168765349844e12 0 0 0
19 2 2.148886101852977e12 2.148886101852977e12 0 0 0
10 3 8.384422525729438e11 8.384422525729438e11 0 0 0
11 3 9.740807003363308e11 9.740807003363308e11 0 0 0
12 3 1.0430053034639171e12 1.0430053034639171e12 0 0 0
13 3 1.1877990496926594e12 1.1877990496926594e12 0 0 0
14 3 2.5342829069437197e12 2.5342829069437197e12 0 0 0
15 3 1.5445239679838013e12 1.5445239679838013e12 0 0 0
16 3 9.072161086872645e12 9.072161086872645e12 0 0 0
17 3 9.251677572989695e12 9.251677572989695e12 0 0 0
18 3 3.4226673541160615e12 3.4226673541160615e12 0 0 0
19 3 2.305598211924847e13 2.305598211924847e13 0 0 0
10 4 1.1507523825602507e12 1.1507523825602507e12 0 0 0
11 4 1.2232899627125771e12 1.2232899627125771e12 0 0 0
12 4 4.415704826719462e12 4.415704826719462e12 0 0 0
13 4 3.7273873160236396e12 3.7273873160236396e12 0 0 0
14 4 2.1406378941276633e13 2.1406378941276633e13 0 0 0
15 4 1.4591864554889014e13 1.4591864554889014e13 0 0 0
16 4 8.377992372645421e12 8.377992372645421e12 0 0 0
17 4 6.682111523596191e13 6.682111523596191e13 0 0 0
18 4 3.5353705130906516e13 3.5353705130906516e13 0 0 0
19 4 3.069502761873219e14 3.069502761873219e14 0 0 0
10 5 1.4530549137313984e12 1.4530549137313984e12 0 0 0
11 5 6.21405122466233e12 6.21405122466233e12 0 0 0
12 5 3.9970239239109116e12 3.9970239239109116e12 0 0 0
13 5 2.493216544633223e13 2.493216544633223e13 0 0 0
14 5 2.1744739194294953e13 2.1744739194294953e13 0 0 0
15 5 2.1252668481290512e14 2.1252668481290512e14 0 0 0
16 5 7.588960405453323e13 7.588960405453323e13 0 0 0
17 5 5.2823127804805475e14 5.2823127804805475e14 0 0 0
18 5 3.992205732859553e14 3.992205732859553e14 0 0 0
19 5 2.0903025392788847e14 2.0903025392788847e14 0 0 0
10 6 1.5577367553352764e13 1.5577367553352764e13 0 0 0
11 6 9.531875693214717e13 9.531875693214717e13 0 0 0
12 6 3.713996159130208e13 3.713996159130208e13 0 0 0
13 6 2.906566295168329e14 2.906566295168329e14 0 0 0
14 6 2.1614985053194338e14 2.1614985053194338e14 0 0 0
15 6 1.2466351306650244e14 1.2466351306650244e14 0 0 0
16 6 4.453429790340684e14 4.453429790340684e14 0 0 0
17 6 3.2549380818880994e14 3.2549380818880994e14 0 0 0
18 6 9.754029000280732e14 9.754029000280732e14 0 0 0
19 6 7.607139983745432e14 7.607139983745432e14 0 0 0
10 7 7.305524648412512e13 7.305524648412512e13 0 0 0
11 7 7.385507327603097e13 7.385507327603097e13 0 0 0
12 7 2.5253874422122638e14 2.5253874422122638e14 0 0 0
13 7 2.3805060855419672e14 2.3805060855419672e14 0 0 0
14 7 6.59732793719564e14 6.59732793719564e14 0 0 0
15 7 5.423597259573681e14 5.423597259573681e14 0 0 0
16 7 1.2586598172615478e15 1.2586598172615478e15 0 0 0
17 7 9.236232961300182e14 9.236232961300182e14 0 0 0
18 7 1.9291351685183878e15 1.9291351685183878e15 0 0 0
19 7 1.6000421861177758e15 1.6000421861177758e15 0 0 0
10 8 5.3578239188365894e14 5.3578239188365894e14 0 0 0
11 8 4.2687669985758544e14 4.2687669985758544e14 0 0 0
12 8 9.71999646844439e14 9.71999646844439e14 0 0 0
13 8 8.45788571755166e14 8.45788571755166e14 0 0 0
14 8 1.5641303148316628e15 1.5641303148316628e15 0 0 0
15 8 1.1804587564814422e15 1.1804587564814422e15 0 0 0
16 8 1.1539130665006702e15 1.1539130665006702e15 0 0 0
17 8 1.9903998298834035e15 1.9903998298834035e15 0 0 0
18 8 1.6080552485182005e15 1.6080552485182005e15 0 0 0
19 8 2.844626575307955e15 2.844626575307955e15 0 0 0
10 9 5.315929855394515e14 5.315929855394515e14 0 0 0
11 9 1.180164986549485e15 1.180164986549485e15 0 0 0
12 9 1.000162573786901e15 1.000162573786901e15 0 0 0
13 9 1.7438546330168735e15 1.7438546330168735e15 0 0 0
14 9 1.4807664211534222e15 1.4807664211534222e15 0 0 0
15 9 2.459164758298606e15 2.459164758298606e15 0 0 0
16 9 2.2987368145820025e15 2.2987368145820025e15 0 0 0
17 9 3.634313491113735e15 3.634313491113735e15 0 0 0
18 9 2.9939196447924065e15 2.9939196447924065e15 0 0 0
19 9 4.7738686171645e15 4.7738686171645e15 0 0 0
20 0 3.296948687118827e11 3.296948687118827e11 0 0 0
21 0 2.892331635369231e11 2.892331635369231e11 0 0 0
22 0 3.983156666712708e11 3.983156666712708e11 0 0 0
23 0 2.67952772876988e11 2.67952772876988e11 0 0 0
24 0 5.863996493685316e11 5.863996493685316e11 0 0 0
25 0 6.293534530218511e11 6.293534530218511e11 0 0 0
26 0 2.964400196791845e12 2.964400196791845e12 0 0 0
27 0 1.6945555123516929e12 1.6945555123516929e12 0 0 0
28 0 5.521127883346086e11 5.521127883346086e11 0 0 0
29 0 1.0749104099425723e13 1.0749104099425723e13 0 0 0
20 1 8.075307814577888e11 8.075307814577888e11 0 0 0
21 1 5.743203100355343e11 5.743203100355343e11 0 0 0
22 1 3.2959946800852734e12 3.2959946800852734e12 0 0 0
23 1 1.0094083714516427e12 1.0094083714516427e12 0 0 0
24 1 5.676970047374972e11 5.676970047374972e11 0 0 0
25 1 7.439283942205324e12 7.439283942205324e12 0 0 0
26 1 4.2317339830236484e12 4.2317339830236484e12 0 0 0
27 1 5.4055260656997625e13 5.4055260656997625e13 0 0 0
28 1 2.4723586600065547e13 2.4723586600065547e13 0 0 0
29 1 3.4092527722330644e14 3.4092527722330644e14 0 0 0
20 2 2.212794981020624e13 2.212794981020624e13 0 0 0
21 2 7.650919577201661e12 7.650919577201661e12 0 0 0
22 2 6.222876674446552e12 6.222876674446552e12 0 0 0
23 2 4.845618334321893e13 4.845618334321893e13 0 0 0
24 2 2.155611417417103e13 2.155611417417103e13 0 0 0
25 2 2.3094758679239453e14 2.3094758679239453e14 0 0 0
26 2 6.062580302707677e13 6.062580302707677e13 0 0 0
27 2 5.3413005743491525e14 5.3413005743491525e14 0 0 0
28 2 4.672041354347437e14 4.672041354347437e14 0 0 0
29 2 1.0592888460402336e14 1.0592888460402336e14 0 0 0
20 3 2.348628749839662e14 2.348628749839662e14 0 0 0
21 3 1.2416570128887997e14 1.2416570128887997e14 0 0 0
22 3 6.5583324936544086e13 6.5583324936544086e13 0 0 0
23 3 4.633636672607042e14 4.633636672607042e14 0 0 0
24 3 2.6053046905393906e14 2.6053046905393906e14 0 0 0
25 3 7.23742805357215e14 7.23742805357215e14 0 0 0
26 3 6.189059119177832e14 6.189059119177832e14 0 0 0
27 3 5.3729518170078006e14 5.3729518170078006e14 0 0 0
28 3 9.210818168536812e14 9.210818168536812e14 0 0 0
29 3 8.216531649249105e14 8.216531649249105e14 0 0 0
20 4 1.7217138732337684e14 1.7217138732337684e14 0 0 0
21 4 7.196565447248851e14 7.196565447248851e14 0 0 0
22 4 4.564685884572588e14 4.564685884572588e14 0 0 0
23 4 9.977740108383829e14 9.977740108383829e14 0 0 0
24 4 8.205575670039375e14 8.205575670039375e14 0 0 0
25 4 7.073887394670311e14 7.073887394670311e14 0 0 0
26 4 1.4555394452231858e15 1.4555394452231858e15 0 0 0
27 4 9.93821001749865e14 9.93821001749865e14 0 0 0
28 4 2.2471516952854272e15 2.2471516952854272e15 0 0 0
29 4 1.8583956184445742e15 1.8583956184445742e15 0 0 0
20 5 7.072088604385982e14 7.072088604385982e14 0 0 0
21 5 5.5708993211114775e14 5.5708993211114775e14 0 0 0
22 5 1.1732180127304202e15 1.1732180127304202e15 0 0 0
23 5 9.381980179618765e14 9.381980179618765e14 0 0 0
24 5 1.8160709571540902e15 1.8160709571540902e15 0 0 0
25 5 1.6030452136793092e15 1.6030452136793092e15 0 0 0
26 5 2.815603631803552e15 2.815603631803552e15 0 0 0
27 5 2.54674257877159e15 2.54674257877159e15 0 0 0
28 5 2.0313827956750672e15 2.0313827956750672e15 0 0 0
29 5 3.491904640042937e15 3.491904640042937e15 0 0 0
20 6 1.6974335126858775e15 1.6974335126858775e15 0 0 0
21 6 1.1780259560791135e15 1.1780259560791135e15 0 0 0
22 6 2.581634346747342e15 2.581634346747342e15 0 0 0
23 6 2.1786756550302282e15 2.1786756550302282e15 0 0 0
