run,n0,ring_size,ring_width,pa
47,150,19.50365,11.41044,147.45957
48,150,19.51158,11.42406,147.77253
49,150,19.54068,11.43343,147.90041
50,150,19.51202,11.38906,148.4822
1,200,21.6072,12.03459,145.98751
2,200,20.31138,11.50432,147.94006
3,200,19.83971,11.30363,146.4716
4,200,19.69423,11.30617,146.40272
5,200,20.11633,11.46146,146.91329
6,200,19.77686,11.29156,146.39938
7,200,19.75777,11.32017,146.41095
8,200,19.69647,11.39678,146.26345
9,200,19.73244,11.34121,146.40197
10,200,19.73781,11.31189,146.40777
11,200,19.78854,11.33726,146.96306
12,200,19.71867,11.32096,146.40819
13,200,19.71934,11.31349,146.50866
14,200,19.71446,11.307,146.59213
15,200,19.75071,11.32941,146.29318
16,200,21.21692,12.01128,148.47632
17,200,21.40048,11.98897,145.30763
18,200,19.74643,11.28908,146.51851
19,200,19.68933,11.31929,146.26392
20,200,19.77062,11.34171,146.30681
21,200,19.7446,11.30777,146.43888
22,200,19.69336,11.31016,146.34417
23,200,19.75422,11.2839,146.36342
24,200,19.73795,11.31543,146.49808
25,200,20.10514,11.4325,146.43421
26,200,19.72479,11.31953,146.37119
27,200,19.72141,11.2889,146.36739
28,200,19.72874,11.32888,146.50914
29,200,19.75054,11.29968,146.35802
30,200,19.75404,11.31855,146.50812
31,200,19.72152,11.33295,146.3841
32,200,20.10259,11.51116,146.94647
33,200,19.71058,11.30341,146.67277
34,200,19.7368,11.35292,146.29741
35,200,19.77024,11.29026,146.64938
36,200,19.75578,11.31346,146.29922
37,200,19.74268,11.31554,146.59339
38,200,19.731,11.27956,146.69634
39,200,19.79626,11.269,146.69296
40,200,19.7277,11.29568,146.47557
41,200,19.73486,11.30284,146.32796
42,200,19.74752,11.31662,146.47215
43,200,19.73206,11.29396,146.46214
44,200,19.7503,11.31631,146.61752
45,200,19.71099,11.30861,146.52791
46,200,21.27963,11.82767,146.83961
47,200,19.69646,11.30993,146.24442
48,200,19.76942,11.32742,146.40194
49,200,19.72016,11.32954,146.23718
50,200,19.74577,11.30869,146.23292
1,250,19.68794,11.22618,147.95215
2,250,19.69312,11.25341,148.03925
3,250,19.70417,11.20587,147.95108
4,250,19.67534,11.21613,147.72119
5,250,19.70865,11.18119,147.26383
6,250,19.67442,11.22161,147.78108
7,250,19.70932,11.21625,147.90765
8,250,19.70452,11.21135,148.20739
9,250,19.7,11.206,147.94945
10,250,19.67352,11.20803,147.9808
11,250,19.69276,11.21628,147.96586
12,250,19.74482,11.19548,147.86621
13,250,19.7,11.19975,147.63481
14,250,19.66601,11.23112,147.72125
15,250,20.00949,11.38749,147.86144
16,250,19.70008,11.17571,147.86462
17,250,19.64128,11.19002,147.56221
18,250,19.7204,11.22099,147.60124
19,250,19.72395,11.20428,148.05044
20,250,19.6665,11.24082,147.46705
21,250,19.61581,11.21765,147.13099
22,250,19.7069,11.21259,147.77458
23,250,21.20151,11.7877,148.01403
24,250,19.6927,11.22509,147.97794
25,250,19.73041,11.21774,147.97294
26,250,19.7093,11.20895,147.85287
27,250,19.62551,11.19281,147.83427
28,250,19.7094,11.22541,147.71837
29,250,19.6979,11.21724,147.789
30,250,19.66135,11.22172,147.94504
31,250,19.74278,11.22139,147.90729
32,250,19.69244,11.25645,147.86483
33,250,19.7144,11.21889,148.03502
34,250,19.68347,11.2334,148.08411
35,250,19.67373,11.18997,148.04265
36,250,19.75695,11.16781,147.85533
37,250,19.69919,11.21978,148.1191
38,250,19.65235,11.16105,149.33633
39,250,19.65414,11.20289,147.94654
40,250,19.69292,11.23794,148.09568
41,250,19.70599,11.20642,149.56035
42,250,19.70555,11.22102,148.37293
43,250,19.5934,11.1501,146.8845
44,250,19.73534,11.19182,148.11348
45,250,19.77944,11.2316,148.21036
46,250,19.70282,11.22944,147.89617
47,250,21.23885,11.76876,148.04742
48,250,19.70213,11.1839,149.26297
49,250,19.69892,11.21913,148.0017
50,250,19.71722,11.18343,147.90398
1,300,19.65154,11.35506,148.27484
2,300,19.65531,11.37282,148.19795
3,300,19.65083,11.37205,148.33948
4,300,19.55549,11.39337,148.4059
5,300,19.62633,11.37253,148.34277
6,300,19.65415,11.37733,148.0491
7,300,19.6049,11.40045,148.51334
8,300,19.61396,11.40406,148.38505
9,300,19.56154,11.48295,148.03322
10,300,19.68293,11.39844,148.30882
11,300,19.54499,11.42365,149.30063
12,300,19.72429,11.4102,148.32656
13,300,19.649,11.36874,148.46602
14,300,19.63246,11.37487,148.54695
15,300,19.61247,11.3472,148.37302
16,300,19.61808,11.35572,148.20965
17,300,19.70391,11.33963,149.68452
18,300,19.62966,11.37787,148.34638
19,300,19.62308,11.42908,148.12019
20,300,19.62502,11.39,148.33207
21,300,19.65153,11.37052,148.20556
22,300,19.64112,11.39333,148.00091
23,300,19.68981,11.33727,148.33863
24,300,19.64187,11.36304,148.50927
25,300,19.58526,11.43757,148.25443
26,300,19.63464,11.37462,148.34473
27,300,19.73149,11.36117,148.4577
28,300,19.67123,11.37396,148.39972
29,300,19.61145,11.36805,148.52969
30,300,19.65373,11.34517,148.54068
31,300,19.63685,11.40364,148.18985
32,300,19.66803,11.3916,148.74171
33,300,19.65632,11.35015,148.39206
34,300,19.60085,11.38446,148.20446
35,300,19.61655,11.36773,148.51265
36,300,19.60955,11.36012,148.06344
37,300,19.77797,11.33873,149.68136
38,300,19.67902,11.37198,148.11376
39,300,19.60319,11.36915,148.30726
40,300,19.605,11.36892,148.07391
41,300,19.65913,11.36003,148.16018
42,300,19.66223,11.37782,148.44115
43,300,19.65854,11.35226,148.5861
